row_id,character,unicode_codepoint,standard_rank,standardizer_status,blocked_items,zdic_url,source_level
8105_full_4071,虱,U+8671,4071,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E8%99%B1,network_cross_reference_queue
8105_full_4081,驿,U+9A7F,4081,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E9%A9%BF,network_cross_reference_queue
8105_full_4101,垱,U+57B1,4101,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%9E%B1,network_cross_reference_queue
8105_full_4106,挦,U+6326,4106,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%8C%A6,network_cross_reference_queue
8105_full_4157,柈,U+67C8,4157,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%9F%88,network_cross_reference_queue
8105_full_4175,殇,U+6B87,4175,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%AE%87,network_cross_reference_queue
8105_full_4190,𠳐,U+20CD0,4190,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%F0%A0%B3%90,network_cross_reference_queue
8105_full_4193,眊,U+770A,4193,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%9C%8A,network_cross_reference_queue
8105_full_4198,曷,U+66F7,4198,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E6%9B%B7,network_cross_reference_queue
8105_full_4221,哌,U+54CC,4221,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%93%8C,network_cross_reference_queue
8105_full_4231,峣,U+5CE3,4231,STANDARDIZER_EVIDENCE_GAP_ZDIC_OR_SOURCE_REVIEW_REQUIRED,MISSING_STANDARD_STRUCTURE;MISSING_STANDARD_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;MISSING_STANDARD_RADICAL;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E5%B3%A3,network_cross_reference_queue
8105_full_4252,秭,U+79ED,4252,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E7%A7%AD,network_cross_reference_queue
8105_full_4288,胫,U+80EB,4288,NATIONAL_STANDARD_CANDIDATE_PARTIAL_REVIEW_REQUIRED,AMBIGUOUS_DECOMPOSITION;MISSING_STANDARD_COMPONENTS;CNBE32_NOT_PROPOSED;HUMAN_REVIEW_REQUIRED,https://www.zdic.net/hans/%E8%83%AB,network_cross_reference_queue
